-11--1-11--1-1-1-1-1-11--1-1-1-1-1-11-  19,19  -11-1-1-1-1-1--11-1-1-1-1-1--11-1--11-  - 1--1----- -1------1  1------1------1--1-   4  0
1--11--1-11-1-1--1-11--1-1-1-1-1-1-11-  19,19  -11-1-1-1-1-1-1--11-1--1-1-11-1--11--1  1 -1--111-- 1-------1  1-------1--111--1-1   6  0
-1-1-1-1-1-1-1-1-1-11-1--11--1-11--1-1  19,19  1-1--11-1--11--1-11-1-1-1-1-1-1-1-1-1-  - --------- 11-1--1--  --1--1-11----------   4  0
1-1-1--1-1-1-1-11--1-1-11-1--1-11--1-1  19,19  1-1--11-1--1-11-1-1--11-1-1-1-1--1-1-1  1 11-----1- --11--1--  --1--11---1-----111   6  0
-11-1--11--1-1-11--11--1-11--1-11--11-  19,19  -11--11-1--11-1--11--11-1-1--11--1-11-  - 11-1---1- 1--1--1-1  1-1--1--1-1---1-11-   8  0
1--1-1-11--1-1-11--11-1-1-1--1-11--11-  19,19  -11--11-1--1-1-1-11--11-1-1--11-1-1--1  1 ---1---1- 1111--1-1  1-1--1111-1---1---1   8  0
-1-11-1--1-11--11--11-1--1-1-1-11--11-  19,19  -11--11-1-1-1--1-11--11--11-1--1-11-1-  - -11--1-1- 11----1-1  1-1----11-1-1--11--   8  0
1--11-1-1-1--1-11--1-1-1-1-11--11--11-  19,19  -11--11--11-1-1-1-1--11-1--1-1-1-11--1  1 -1111--1- ----1-1-1  1-1-1-----1--1111-1   8  0
-1-11--11--1-1-11--11-1-1-1-1-1-1-1-1-  19,19  -1-1-1-1-1-1-1-1-11--11-1-1--11--11-1-  - -1-1---1- 111111111  111111111-1---1-1--  12  0
1--1-1-1-1-1-1-1-1-11-1-1--11-1--1-11-  19,19  -11-1--1-11--1-1-11-1-1-1-1-1-1-1-1--1  1 --------- 111-11--1  1--11-111---------1   6  0
-11-1--1-1-1-1-1-1-11-1-1--1-1-1-1-11-  19,19  -11-1-1-1-1--1-1-11-1-1-1-1-1-1--1-11-  - 11------- 111-----1  1-----111-------11-   6  0
1-1--1-1-11--1-1-1-11--1-1-1-1-1-1-11-  19,19  -11-1-1-1-1-1-1--11-1-1-1--11-1-1--1-1  1 1---1---- 1-------1  1-------1----1---11   4  0
-11--1-1-1-1-1-1-1-1-11--1-11-1--11-1-  19,19  -1-11--1-11-1--11-1-1-1-1-1-1-1-1--11-  - 1-------- -1--11-11  11-11--1---------1-   6  0
1-1--1-1-1-1-1-1-1-11--1-11-1--1-1-1-1  19,19  1-1-1-1--1-11-1--11-1-1-1-1-1-1-1--1-1  1 1-------- 1--11----  ----11--1--------11   4  0
-1-1-1-1-11--1-1-1-1-11--1-1-1-1-1-1-1  19,19  1-1-1-1-1-1-1--11-1-1-1-1--11-1-1-1-1-  - ----1---- -1-------  -------1-----1-----   2  0
1-1--1-1-1-1-1-1-1-1-11--1-11-1--11-1-  19,19  -1-11--1-11-1--11-1-1-1-1-1-1-1-1--1-1  1 1-------- -1--11-11  11-11--1---------11   6  0
